name,gender,IPA,IPA_stress,counts,n_syllables
James,M,'ʤeɪmz,1,86239,1
Robert,M,'rɑ bɛːt,10,83565,2
Linda,F,'lɪn də,10,80432,2
John,M,'ʤɑn,1,79420,1
Mary,F,'mɛ riː,10,65482,2
Michael,M,'maɪ kəl,10,65151,2
David,M,'deɪ vɪd,10,60730,2
William,M,'wɪl jəm,10,60690,2
Richard,M,'rɪ ʧɛːd,10,51001,2
Patricia,F,pə 'trɪ ʃə,010,47945,3
Thomas,M,'tɑ məs,10,45603,2
Barbara,F,'bɑr bɛː ə,100,41557,3
Charles,M,'ʧɑrlz,1,39099,1
Susan,F,'suː zən,10,38018,2
Gary,M,'gɛ riː,10,33753,2
Larry,M,'lɛ riː,10,31487,2
Ronald,M,'rɑ nəld,10,29916,2
Nancy,F,'næn siː,10,29618,2
Deborah,F,'dɛ bɛː ə,100,29064,3
Sandra,F,'sæn drə,10,28895,2
Joseph,M,'ʤoʊ səf,10,27026,2
Donald,M,'dɑ nəld,10,26998,2
Carol,F,'kæ rəl,10,26165,2
Kathleen,F,kæθ 'liːn,01,25704,2
Sharon,F,'ʃæ rən,10,24615,2
Karen,F,'kɛ rən,10,24139,2
Kenneth,M,'kɛ nɪθ,10,23823,2
Steven,M,'stiː vən,10,23255,2
Dennis,M,'dɛ nɪs,10,22861,2
Paul,M,'pɔːl,1,21757,1
Donna,F,'dɑ nʌ,10,21630,2
Brenda,F,'brɛn də,10,20795,2
Stephen,M,'stiː vən,10,20509,2
George,M,'ʤɔːrʤ,1,20175,1
Daniel,M,'dæ njəl,10,19193,2
Edward,M,'ɛ dwɛːd,10,18715,2
Margaret,F,'mɑr gɛː ɪt,100,18111,3
Diane,F,daɪ 'æn,01,17635,2
Mark,M,'mɑrk,1,16605,1
Pamela,F,'pæ mə lə,100,16204,3
Janet,F,'ʤæ nət,10,16194,2
Shirley,F,'ʃɛː liː,10,15890,2
Carolyn,F,'kɛ rə lɪn,100,15589,3
Judith,F,'ʤuː dəθ,10,15355,2
Jerry,M,'ʤɛ riː,10,15267,2
Janice,F,'ʤæ nəs,10,15012,2
Cynthia,F,'sɪn θiː ə,100,14446,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,14337,4
Judy,F,'ʤuː diː,10,14205,2
Betty,F,'bɛ tiː,10,13612,2
Joyce,F,'ʤɔɪs,1,13416,1
Gregory,M,'grɛ gɛː iː,100,13312,3
Bruce,M,'bruːs,1,12677,1
Christine,F,krɪ 'stiːn,01,12675,2
Roger,M,'rɑ ʤɛː,10,12548,2
Douglas,M,'də gləs,10,12265,2
Cheryl,F,'ʃɛ rəl,10,11825,2
Frank,M,'fræŋk,1,11613,1
Terry,M,'tɛ riː,10,11430,2
Raymond,M,'reɪ mənd,10,11179,2
Gloria,F,'glɔː riː ə,100,11037,3
Timothy,M,'tɪ mə θiː,100,10505,3
Beverly,F,'bɛ vɛː liː,100,10504,3
Lawrence,M,'lɔː rəns,10,10176,2
Martha,F,'mɑr θə,10,9836,2
Bonnie,F,'bɑ niː,10,9748,2
Gerald,M,'ʤɛ rəld,10,9723,2
Catherine,F,'kæ θɛː ən,100,9655,3
Dorothy,F,'dɔː rə θiː,100,9552,3
Rebecca,F,rə 'bɛ kə,010,9427,3
Marilyn,F,'mɛ rə lən,100,9286,3
Wayne,M,'weɪn,1,9263,1
Kathy,F,'kæ θiː,10,9089,2
Jane,F,'ʤeɪn,1,8963,1
Joan,F,'ʤoʊn,1,8863,1
Anthony,M,'æn θə niː,100,8622,3
Peggy,F,'pɛ giː,10,8533,2
Peter,M,'piː tɛː,10,8367,2
Gail,F,'geɪl,1,8348,1
Virginia,F,vɛː 'ʤɪ njə,010,8314,3
Patrick,M,'pæ trɪk,10,8181,2
Connie,F,'kɔː niː,10,8147,2
Danny,M,'dæ niː,10,8147,2
Ann,F,'æn,1,7922,1
Kathryn,F,'kæ θrɪn,10,7864,2
Walter,M,'wɔːl tɛː,10,7792,2
Alan,M,'æ lən,10,7738,2
Willie,M,'wɪ liː,10,7719,2
Jeffrey,M,'ʤɛ friː,10,7649,2
Diana,F,daɪ 'æ nʌ,010,7444,3
Jean,F,'ʤiːn,1,7433,1
Carl,M,'kɑrl,1,7287,1
Harold,M,'hɛ rəld,10,7220,2
Arthur,M,'ɑr θɛː,10,7160,2
Ruth,F,'ruːθ,1,7128,1
Helen,F,'hɛ lən,10,7059,2
Frances,F,'fræn sɪs,10,6974,2
Henry,M,'hɛn riː,10,6964,2
Wanda,F,'wɑn də,10,6928,2
Jack,M,'ʤæk,1,6839,1
Dale,M,'deɪl,1,6786,1
Phyllis,F,'fɪ lɪs,10,6695,2
Paula,F,'pɔː lə,10,6629,2
Johnny,M,'ʤɑ niː,10,6582,2
Roy,M,'rɔɪ,1,6456,1
Jacqueline,F,'ʤæ kwə lɪn,100,6451,3
Rita,F,'riː tʌ,10,6424,2
Ralph,M,'rælf,1,6404,1
Alice,F,'æ ləs,10,6363,2
Katherine,F,'kæ θɛː ɪn,100,6204,3
Debra,F,'dɛ brə,10,6180,2
Philip,M,'fɪ ləp,10,6071,2
Elaine,F,ɪ 'leɪn,01,6037,2
Joe,M,'ʤoʊ,1,6036,1
Vicki,F,'vɪ kiː,10,5827,2
Sherry,F,'ʃɛ riː,10,5809,2
Jimmy,M,'ʤɪ miː,10,5761,2
Albert,M,'æl bɛːt,10,5756,2
Laura,F,'lɔː rə,10,5724,2
Billy,M,'bɪ liː,10,5678,2
Jo,F,'ʤoʊ,1,5677,1
Theresa,F,tɛː 'iː sə,010,5627,3
Ellen,F,'ɛ lən,10,5566,2
Joanne,F,`ʤoʊ 'æn,11,5492,2
Eugene,M,juː 'ʤiːn,01,5484,2
Glenn,M,'glɛn,1,5469,1
Stanley,M,'stæn liː,10,5451,2
Marsha,F,'mɑr ʃə,10,5401,2
Harry,M,'hɛ riː,10,5376,2
Rose,F,'roʊz,1,5373,1
Sheila,F,'ʃiː lə,10,5323,2
Suzanne,F,suː 'zæn,01,5269,2
Samuel,M,'sæ mjuːl,10,5228,2
Marie,F,mɛː 'iː,01,5220,2
Howard,M,'haʊ ɛːd,10,5168,2
Maria,F,mɛː 'iː ə,010,5079,3
Phillip,M,'fɪ lɪp,10,5056,2
Doris,F,'dɔː rəs,10,5053,2
Cathy,F,'kæ θiː,10,5031,2
Lynn,F,'lɪn,1,5020,1
Bobby,M,'bɑ biː,10,5015,2
Marcia,F,'mɑr ʃə,10,4954,2
Louis,M,'luː ɪs,10,4951,2
Russell,M,'rə səl,10,4943,2
Andrew,M,'æn druː,10,4930,2
Craig,M,'kreɪg,1,4887,1
Sally,F,'sæ liː,10,4869,2
Randall,M,'ræn dəl,10,4843,2
Allen,M,'æ lən,10,4842,2
Christopher,M,'krɪ stə fɛː,100,4836,3
Darlene,F,'dɑr `liːn,11,4832,2
Kevin,M,'kɛ vɪn,10,4755,2
