"IPA_stress","gender","name","counts"
"0010","F","Angelina",116739
"0010","F","Gabriella",111523
"0010","F","Ariana",95723
"0010","F","Arianna",87689
"0010","F","Gabriela",77470
"0010","F","Anastasia",39950
"0010","F","Valentina",29584
"0010","F","Viviana",19869
"0010","F","Lilliana",14444
"0010","F","Rosalinda",14002
"0010","M","Alejandro",129210
"0010","M","Salvatore",54681
"0010","M","Luciano",7152
"0010","M","Alessandro",6598
"0010","M","Federico",4172
"0010","M","Alexandre",3415
"0010","M","Isadore",2990
"0010","M","Cristiano",2073
"0010","M","Marcelino",997
"0010","M","Adriano",332
"0100","F","Elizabeth",1629679
"0100","F","Victoria",486490
"0100","F","Olivia",433550
"0100","F","Veronica",216869
"0100","F","Angelica",87324
"0100","F","Valeria",62920
"0100","F","Penelope",56667
"0100","F","Serenity",52633
"0100","F","Elisabeth",44101
"0100","F","Alexia",41910
"0100","M","Antonio",244252
"0100","M","Emmanuel",71263
"0100","M","Emanuel",47931
"0100","M","Emilio",37347
"0100","M","Demetrius",33236
"0100","M","Rogelio",22799
"0100","M","Mauricio",19472
"0100","M","Ignacio",16441
"0100","M","Gregorio",5578
"0100","M","Demario",4812
"0101","F","Evangeline",22155
"0101","F","Calliope",1503
"0101","F","Persephone",1355
"0101","F","Concepcion",102
"1000","M","Leonidas",3888
"1010","F","Isabella",315900
"1010","F","Alexandra",230021
"1010","F","Adriana",86586
"1010","F","Juliana",53607
"1010","F","Liliana",52272
"1010","F","Henrietta",49064
"1010","F","Carolina",40400
"1010","F","Margarita",38299
"1010","F","Mariana",33311
"1010","F","Dorothea",31145
"1010","M","Alexander",661068
"1010","M","Jeremiah",189053
"1010","M","Giovanni",64607
"1010","M","Leonardo",60577
"1010","M","Santiago",54834
"1010","M","Zachariah",26431
"1010","M","Nehemiah",13452
"1010","M","Giancarlo",6328
"1010","M","Mariano",4160
"1010","M","Valentino",3960
"1100","F","Eugenia",26475
"1100","M","Octavio",8606
"1100","M","Arsenio",709
"1110","F","Tatiana",32289
